"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"差异引擎配置测试","0","test_diff_engine_config","tests","2026-06-11","passed","2026-06-11","","test_recorder_integration","",""
"","23","test_suite_has_name[test_httpbin.yaml]","tests.smoke","2026-06-11","passed","2026-06-11","TestParsedSuiteStructure","test_all_existing_cases","",""
"","1","test_generates_assertions_for_required_fields","tests","2026-06-11","passed","2026-06-11","TestGenerateAssertions","test_smart_assertion","",""
"每个 YAML 文件至少包含一个用例","20","test_yaml_has_cases[grpc_test.yaml]","tests.smoke","2026-06-11","passed","2026-06-11","TestAllYamlFilesParsable","test_all_existing_cases","",""
"","1","test_stable_string_field","tests","2026-06-11","passed","2026-06-11","TestSchemaInferrerInferField","test_smart_assertion","",""
"每个用例必须有 request 或 ws_config","20","test_each_case_has_request_or_ws[grpc_test.yaml]","tests.smoke","2026-06-11","failed","2026-06-11","TestParsedSuiteStructure","test_all_existing_cases","",""
"每个 YAML 文件至少包含一个用例","25","test_yaml_has_cases[test_user_api.yaml]","tests.smoke","2026-06-11","passed","2026-06-11","TestAllYamlFilesParsable","test_all_existing_cases","",""
"应覆盖 smoke 和 regression 两类定义目录","0","test_all_categories_present","tests.smoke","2026-06-11","passed","2026-06-11","TestYamlFileCount","test_all_existing_cases","",""
"有 request 的用例应有 method 和 path","19","test_request_has_method_and_path[grpc_test.yaml]","tests.smoke","2026-06-11","passed","2026-06-11","TestParsedSuiteStructure","test_all_existing_cases","",""
"每个 YAML 文件至少包含一个用例","10","test_yaml_has_cases[test_status_codes.yaml]","tests.smoke","2026-06-11","passed","2026-06-11","TestAllYamlFilesParsable","test_all_existing_cases","",""
"","26","test_suite_has_name[test_user_api.yaml]","tests.smoke","2026-06-11","passed","2026-06-11","TestParsedSuiteStructure","test_all_existing_cases","",""
"","1","test_detects_missing_required_field","tests","2026-06-11","passed","2026-06-11","TestChangeDetector","test_smart_assertion","",""
"HAR 模型序列化完整测试","1","test_har_models_serialization","tests","2026-06-11","passed","2026-06-11","","test_recorder_integration","",""
"","0","test_phone","tests","2026-06-11","passed","2026-06-11","TestDetectValuePattern","test_smart_assertion","",""
"每个用例必须有 request 或 ws_config","25","test_each_case_has_request_or_ws[test_user_api.yaml]","tests.smoke","2026-06-11","passed","2026-06-11","TestParsedSuiteStructure","test_all_existing_cases","",""
"","0","test_exclude_paths","tests","2026-06-11","passed","2026-06-11","TestGenerateAssertions","test_smart_assertion","",""
"","1","test_ip","tests","2026-06-11","passed","2026-06-11","TestDetectValuePattern","test_smart_assertion","",""
"稳定接口：多次执行响应结构一致","2","test_stable_api_scenario","tests","2026-06-11","passed","2026-06-11","TestEndToEnd","test_smart_assertion","",""
"","0","test_int_field_with_range","tests","2026-06-11","passed","2026-06-11","TestSchemaInferrerInferField","test_smart_assertion","",""
"每个 YAML 文件都应能被解析成 TestSuite","21","test_yaml_parsable[test_data_driven.yaml]","tests.smoke","2026-06-11","passed","2026-06-11","TestAllYamlFilesParsable","test_all_existing_cases","",""
"","20","test_each_case_has_name[grpc_test.yaml]","tests.smoke","2026-06-11","passed","2026-06-11","TestParsedSuiteStructure","test_all_existing_cases","",""
"","8","test_suite_has_name[test_auth.yaml]","tests.smoke","2026-06-11","passed","2026-06-11","TestParsedSuiteStructure","test_all_existing_cases","",""
"每个用例必须有 request 或 ws_config","9","test_each_case_has_request_or_ws[test_data_driven.yaml]","tests.smoke","2026-06-11","passed","2026-06-11","TestParsedSuiteStructure","test_all_existing_cases","",""
"每个 YAML 文件都应能被解析成 TestSuite","24","test_yaml_parsable[test_httpbin.yaml]","tests.smoke","2026-06-11","passed","2026-06-11","TestAllYamlFilesParsable","test_all_existing_cases","",""
"","8","test_each_case_has_name[test_auth.yaml]","tests.smoke","2026-06-11","passed","2026-06-11","TestParsedSuiteStructure","test_all_existing_cases","",""
"RecorderManager 生命周期测试","1","test_recorder_manager_flow","tests","2026-06-11","passed","2026-06-11","","test_recorder_integration","",""
"","0","test_collection_types","tests","2026-06-11","passed","2026-06-11","TestInferPythonType","test_smart_assertion","",""
"占位测试，确保 smoke 标记可用","1","test_smoke_tag_applies","tests.smoke","2026-06-11","passed","2026-06-11","","test_all_existing_cases","",""
"有 request 的用例应有 method 和 path","23","test_request_has_method_and_path[test_httpbin.yaml]","tests.smoke","2026-06-11","passed","2026-06-11","TestParsedSuiteStructure","test_all_existing_cases","",""
"","0","test_detects_new_field","tests","2026-06-11","passed","2026-06-11","TestChangeDetector","test_smart_assertion","",""
"","1","test_numeric_string","tests","2026-06-11","passed","2026-06-11","TestDetectValuePattern","test_smart_assertion","",""
"","1","test_detects_required_field_null","tests","2026-06-11","passed","2026-06-11","TestChangeDetector","test_smart_assertion","",""
"每个 YAML 文件至少包含一个用例","22","test_yaml_has_cases[test_httpbin.yaml]","tests.smoke","2026-06-11","passed","2026-06-11","TestAllYamlFilesParsable","test_all_existing_cases","",""
"每个用例必须有 request 或 ws_config","10","test_each_case_has_request_or_ws[test_status_codes.yaml]","tests.smoke","2026-06-11","passed","2026-06-11","TestParsedSuiteStructure","test_all_existing_cases","",""
"","9","test_each_case_has_name[test_data_driven.yaml]","tests.smoke","2026-06-11","passed","2026-06-11","TestParsedSuiteStructure","test_all_existing_cases","",""
"有 request 的用例应有 method 和 path","11","test_request_has_method_and_path[test_status_codes.yaml]","tests.smoke","2026-06-11","passed","2026-06-11","TestParsedSuiteStructure","test_all_existing_cases","",""
"","1","test_generates_type_assertions","tests","2026-06-11","passed","2026-06-11","TestGenerateAssertions","test_smart_assertion","",""
"","1","test_email","tests","2026-06-11","passed","2026-06-11","TestDetectValuePattern","test_smart_assertion","",""
"","0","test_no_pattern","tests","2026-06-11","passed","2026-06-11","TestDetectValuePattern","test_smart_assertion","",""
"","1","test_flat_dict","tests","2026-06-11","passed","2026-06-11","TestSchemaInferrerCollectFields","test_smart_assertion","",""
"每个 YAML 文件至少包含一个用例","7","test_yaml_has_cases[test_data_driven.yaml]","tests.smoke","2026-06-11","passed","2026-06-11","TestAllYamlFilesParsable","test_all_existing_cases","",""
"","1","test_detects_type_change","tests","2026-06-11","passed","2026-06-11","TestChangeDetector","test_smart_assertion","",""
"","1","test_primitive_types","tests","2026-06-11","passed","2026-06-11","TestInferPythonType","test_smart_assertion","",""
"每个 YAML 文件至少包含一个用例","17","test_yaml_has_cases[test_mock_demo.yaml]","tests.smoke","2026-06-11","passed","2026-06-11","TestAllYamlFilesParsable","test_all_existing_cases","",""
"每个 YAML 文件都应能被解析成 TestSuite","18","test_yaml_parsable[test_mock_demo.yaml]","tests.smoke","2026-06-11","passed","2026-06-11","TestAllYamlFilesParsable","test_all_existing_cases","",""
"","1","test_non_dict_body","tests","2026-06-11","passed","2026-06-11","TestChangeDetector","test_smart_assertion","",""
"每个 YAML 文件都应能被解析成 TestSuite","8","test_yaml_parsable[test_auth.yaml]","tests.smoke","2026-06-11","passed","2026-06-11","TestAllYamlFilesParsable","test_all_existing_cases","",""
"每个用例必须有 request 或 ws_config","8","test_each_case_has_request_or_ws[test_auth.yaml]","tests.smoke","2026-06-11","passed","2026-06-11","TestParsedSuiteStructure","test_all_existing_cases","",""
"","23","test_each_case_has_name[test_httpbin.yaml]","tests.smoke","2026-06-11","passed","2026-06-11","TestParsedSuiteStructure","test_all_existing_cases","",""
"","0","test_enum_detection","tests","2026-06-11","passed","2026-06-11","TestSchemaInferrerInferField","test_smart_assertion","",""
"有 request 的用例应有 method 和 path","9","test_request_has_method_and_path[test_data_driven.yaml]","tests.smoke","2026-06-11","passed","2026-06-11","TestParsedSuiteStructure","test_all_existing_cases","",""
"每个用例必须有 request 或 ws_config","24","test_each_case_has_request_or_ws[test_httpbin.yaml]","tests.smoke","2026-06-11","passed","2026-06-11","TestParsedSuiteStructure","test_all_existing_cases","",""
"","0","test_empty_values","tests","2026-06-11","passed","2026-06-11","TestSchemaInferrerInferField","test_smart_assertion","",""
"每个 YAML 文件至少包含一个用例","8","test_yaml_has_cases[test_auth.yaml]","tests.smoke","2026-06-11","passed","2026-06-11","TestAllYamlFilesParsable","test_all_existing_cases","",""
"","1","test_no_changes_for_matching_response","tests","2026-06-11","passed","2026-06-11","TestChangeDetector","test_smart_assertion","",""
